directors,popularity,stars,title,writers
Martin Scorsese,286,"Leonardo DiCaprio,Matt Damon,Jack Nicholson",The Departed,"William Monahan,Alan Mak"
Stanley Kubrick,"1,166","Peter Sellers,George C. Scott,Sterling Hayden",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Stanley Kubrick,Terry Southern"
Hayao Miyazaki,"1,415","Yôji Matsuda,Yuriko Ishida,Yûko Tanaka",Princess Mononoke,"Hayao Miyazaki,Neil Gaiman"
Stanley Kubrick,,"Kirk Douglas,Ralph Meeker,Adolphe Menjou",Paths of Glory,"Stanley Kubrick,Calder Willingham"
Chan-wook Park,684,"Min-sik Choi,Ji-tae Yu,Hye-jeong Kang",Oldboy,"Garon Tsuchiya,Nobuaki Minegishi"
Sergio Leone,,"Robert De Niro,James Woods,Elizabeth McGovern",Once Upon a Time in America,"Harry Grey,Leonardo Benvenuti"
Steven Spielberg,317,"Harrison Ford,Karen Allen,Paul Freeman",Raiders of the Lost Ark,"Lawrence Kasdan,George Lucas"
James Cameron,692,"Sigourney Weaver,Michael Biehn,Carrie Henn",Aliens,"James Cameron,David Giler"
Alfred Hitchcock,,"James Stewart,Kim Novak,Barbara Bel Geddes",Vertigo,"Alec Coppel,Samuel A. Taylor"
Christopher Nolan,241,"Christian Bale,Tom Hardy,Anne Hathaway",The Dark Knight Rises,"Jonathan Nolan,Christopher Nolan"
Alfred Hitchcock,"2,053","Cary Grant,Eva Marie Saint,James Mason",North by Northwest,Ernest Lehman
Mel Gibson,381,"Mel Gibson,Sophie Marceau,Patrick McGoohan",Braveheart,Randall Wallace
Milos Forman,"1,148","F. Murray Abraham,Tom Hulce,Elizabeth Berridge",Amadeus,"Peter Shaffer,Peter Shaffer"
"Stanley Donen,Gene Kelly","1,683","Gene Kelly,Donald O'Connor,Debbie Reynolds",Singin' in the Rain,"Betty Comden,Adolph Green"
Billy Wilder,"4,166","Fred MacMurray,Barbara Stanwyck,Edward G. Robinson",Double Indemnity,"Billy Wilder,Raymond Chandler"
Darren Aronofsky,410,"Ellen Burstyn,Jared Leto,Jennifer Connelly",Requiem for a Dream,"Hubert Selby Jr.,Hubert Selby Jr."
Martin Scorsese,458,"Robert De Niro,Jodie Foster,Cybill Shepherd",Taxi Driver,Paul Schrader
George Roy Hill,"2,442","Paul Newman,Robert Redford,Robert Shaw",The Sting,David S. Ward
"Terry Gilliam,Terry Jones","1,145","Graham Chapman,John Cleese,Eric Idle",Monty Python and the Holy Grail,"Graham Chapman,John Cleese"
Thomas Vinterberg,"1,150","Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp",The Hunt,"Tobias Lindholm,Thomas Vinterberg"
Sergio Leone,"2,318","Clint Eastwood,Lee Van Cleef,Gian Maria Volontè",For a Few Dollars More,"Sergio Leone,Fulvio Morsella"
Robert Mulligan,"1,081","Gregory Peck,John Megna,Frank Overton",To Kill a Mockingbird,"Harper Lee,Horton Foote"
Brian De Palma,257,"Al Pacino,Michelle Pfeiffer,Steven Bauer",Scarface,Oliver Stone
Billy Wilder,,"Jack Lemmon,Shirley MacLaine,Fred MacMurray",The Apartment,"Billy Wilder,I.A.L. Diamond"
Akira Kurosawa,,"Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai",Yojimbo,"Akira Kurosawa,Akira Kurosawa"
Clint Eastwood,"1,268","Clint Eastwood,Gene Hackman,Morgan Freeman",Unforgiven,David Webb Peoples
Michael Mann,184,"Al Pacino,Robert De Niro,Val Kilmer",Heat,Michael Mann
Martin Scorsese,"1,992","Robert De Niro,Cathy Moriarty,Joe Pesci",Raging Bull,"Jake LaMotta,Joseph Carter"
Billy Wilder,"1,855","Marilyn Monroe,Tony Curtis,Jack Lemmon",Some Like It Hot,"Billy Wilder,I.A.L. Diamond"
Juan José Campanella,"1,591","Ricardo Darín,Soledad Villamil,Pablo Rago",The Secret in Their Eyes,"Eduardo Sacheri,Juan José Campanella"
Majid Majidi,,"Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi",Children of Heaven,Majid Majidi
Stanley Kramer,"2,453","Spencer Tracy,Burt Lancaster,Richard Widmark",Judgment at Nuremberg,"Abby Mann,Abby Mann"
Guy Ritchie,"1,412","Jason Flemyng,Dexter Fletcher,Nick Moran","Lock, Stock and Two Smoking Barrels",Guy Ritchie
Ingmar Bergman,,"Max von Sydow,Gunnar Björnstrand,Bengt Ekerot",The Seventh Seal,"Ingmar Bergman,Ingmar Bergman"
"Pete Docter,Ronnie Del Carmen",219,"Amy Poehler,Bill Hader,Lewis Black",Inside Out,"Pete Docter,Ronnie Del Carmen"
James McTeigue,620,"Hugo Weaving,Natalie Portman,Rupert Graves",V for Vendetta,"Lilly Wachowski,Lana Wachowski"
Elia Kazan,"2,462","Marlon Brando,Karl Malden,Lee J. Cobb",On the Waterfront,"Budd Schulberg,Budd Schulberg"
Lenny Abrahamson,298,"Brie Larson,Jacob Tremblay,Sean Bridgers",Room,"Emma Donoghue,Emma Donoghue"
